,DEVELOPER,PUBLISHER,BASE PRICE,Action,Adventure,Casual,Early Access,Free to Play,Indie,Massively Multiplayer,Movie,RPG,Racing,Simulation,Sports,Strategy,LAN Co-op,Online Co-op,Online PvP,Shared/Split Screen Co-op,Shared/Split Screen PvP,Single-player
213,"Fulcrum Games,Hydroflame,over 250 github contributors",Fulcrum Games,0.0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1
214,Pavonis Interactive,Hooded Horse,29.99,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0
215,Inceton games,Inceton games,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
216,Sky9 Games,IndieArk,39.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
217,Orange_Juice,Fruitbat Factory,34.99,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1
218,Studio 397,Studio 397,4.99,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1
219,Big Ant Studios,Nacon,1.99,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0
220,"jorgen games Ltd,Oliver Josh",jorgen games Ltd,59.99,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1
221,K Bros Games,K Bros Games,0.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1
222,Gunfire Games,THQ Nordic,14.99,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1
223,"Orteil,DashNet",Playsaurus,0.0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1
224,Enplex Games LLC,Enplex Games LLC,16.99,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
225,Amelore,Amelore,24.99,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1
226,Games Incubator,"Games Incubator,PlayWay S.A.",19.99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
227,Nihon Falcom,"XSEED Games,Marvelous USA, Inc.",0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
228,Sad Panda Studios,Sad Panda Studios,39.99,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1
229,Geometa,MicroProse Software,24.99,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0
230,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",19.99,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1
231,Killerfish Games,Killerfish Games,14.99,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
232,Neon Giant,Curve Games,4.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
233,"Softstar Technology (Beijing) Co., Ltd","CubeGame,Softstar Technology (Beijing) Co., Ltd",0.0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1
234,Dieselmine,Paradise Project,19.99,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1
235,Eight Points,HypeTrain Digital,0.0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
236,Fire Sword Studios,Fire Sword Studios,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1
237,Digital Sun,11 bit studios,14.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1
238,Bad Viking,Iceberg Interactive,19.99,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1
239,Patrick Traynor,Patrick Traynor,0.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1
240,"Yellow Dog Man Studios,Frooxius",Yellow Dog Man Studios,0.0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1
241,"CyberConnect2 Co., Ltd.",Bandai Namco Entertainment,0.99,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
242,Jutsu Games,Games Operators,19.99,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1
243,"AQURIA Co., Ltd.",BANDAI NAMCO Entertainment,3.99,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0
244,Stress Level Zero,Stress Level Zero,29.99,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1
245,Holyday Studios,Holyday Studios,44.99,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1
246,Nimble Giant Entertainment,Paradox Interactive,4.99,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1
247,Damian Schloter,Damian Schloter,39.99,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1
248,Gasket Games,Focus Entertainment,2.99,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0
249,Deep Water Studio,PlayWay S.A.,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
250,NoGlyph Games,NoGlyph Games,39.99,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0
251,Lost Frame Development,Lost Frame Development,0.99,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1
252,Raymond Doerr,SixtyGig Games,39.99,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1
253,NEOWIZ,NEOWIZ,0.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
254,"Jerzie,Creobit",8Floor,0.99,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0
255,Destructive Creations,Destructive Creations,9.99,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1
256,VSTGames,VSTGames,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0
257,Dekovir Entertainment,Black Maple Games,0.0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1
258,Ashborne Games,THQ Nordic,29.99,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
259,Sports Interactive,SEGA,16.99,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0
260,Nuno Donato,Conglomerate 5,39.99,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0
261,Die of Death Games,Die of Death Games,0.0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
262,"Double Eleven,Introversion Software",Paradox Interactive,24.99,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1
263,Leef 6010,Leef 6010,14.99,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1
264,Bethesda Game Studios,Bethesda Softworks,0.99,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1
265,Codemasters,Electronic Arts,29.99,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
266,Nepos Games,Nepos Games,4.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
267,Agafonoff,Agafonoff,19.99,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
268,Pipeworks Studios,Jagex Ltd,19.99,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
269,PlaySide Studios,Team17,14.99,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1
270,Marco Amadei,Corvostudio di Amadei Marco,14.99,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0
271,Wadup Games,Conglomerate 5,49.99,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0
272,Quiet River,Quiet River,29.99,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0
273,Tort,Conglomerate 5,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
274,"Idea Factory,Compile Heart",Idea Factory International,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1
275,Eyedentity Games Inc.,Eyedentity Games Inc.,29.99,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0
276,Beamdog,Beamdog,19.99,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0
277,"CarX Technologies, LLC","CarX Technologies, LLC",1.99,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0
278,European Flameworms,Union Onion,0.99,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0
279,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",24.99,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1
280,Qruppo,Shiravune,14.99,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
281,"Codemasters,Feral Interactive (Mac)","Codemasters,Feral Interactive (Mac),Electronic Arts",0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
282,Vulcron,Vulcron,29.99,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1
283,Faerin Games,Faerin Games,29.99,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1
284,Zen Studios,Zen Studios,17.99,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1
285,Ska Studios,Ska Studios,29.99,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
286,Relax Minimalism,Relax Minimalism,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
287,"Studiobside Co.,Ltd","Studiobside Co.,Ltd",14.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
288,"빌리 헤링턴,Red Six Development",Red Six Publishing,0.0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1
289,The Outsiders,Funcom,24.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
290,"Nostalgia Hound,PiGravity",Back To Basics Gaming,19.99,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1
291,Dope Games,Merge Games,59.99,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0
292,"id Software,Avalanche Studios",Bethesda Softworks,14.99,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0
293,Invisible Walls,Versus Evil,29.99,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1
294,Fairytale Software CaWa GmbH,Fairytale Software CaWa GmbH,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1
295,Deck13,Focus Entertainment,39.99,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0
296,Dreambyte Games,Dreambyte Games,14.99,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1
297,Sports Interactive,SEGA,49.99,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1
298,Cyanide Studio,Focus Home Interactive,49.99,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0
299,Agafonoff,Agafonoff,2.99,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1
300,BlankMediaGames LLC,BlankMediaGames LLC,14.99,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0
301,Chowbie,Chowbie,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1
302,Mihai Morosanu,Mihai Morosanu,19.99,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0
303,Wonderscope,Team17,19.99,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
304,Bandai Namco Studios Inc.,Bandai Namco Entertainment,19.99,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
305,Brilliant Game Studios,Brilliant Game Studios,19.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0
306,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
307,Hello Games,Hello Games,19.99,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1
308,FYQD-Studio,"FYQD-Studio,PLAYISM",59.99,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0
309,Telltale Games,2K,59.99,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
310,Leef 6010,Leef 6010,0.0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1
311,James Bendon,James Bendon,19.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1
312,Ink Stains Games,HypeTrain Digital,0.0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1
313,Naddic Games,Naddic Games,19.99,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0
314,CREATIVE ASSEMBLY,SEGA,13.99,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1
315,Pugstorm,Fireshine Games,49.99,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1
316,"MomoGames,Critical Bliss",Critical Bliss,0.0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1
317,Undead Labs,Xbox Game Studios,9.99,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1
318,Frontier Developments,Frontier Developments,49.99,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1
319,Dancing Dragon Games,Freedom Games,0.0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
320,NeocoreGames,NeocoreGames,2.99,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1
321,"Relic Entertainment,Forgotten Empires,Climax Studios,World's Edge",Xbox Game Studios,15.99,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
322,"Ubisoft Annecy,Ubisoft Belgrade,Ubisoft Kyiv,Ubisoft Pune,Ubisoft Odesa",Ubisoft Entertainment,19.99,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
323,Rusty Lake,Rusty Lake,0.99,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
324,Bombservice,PLAYISM,19.99,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1
325,Sumo Digital,Secret Mode,29.99,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
326,Dennaton Games,Devolver Digital,29.99,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0
327,Reactive Drop Team,Reactive Drop Team,1.99,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
328,RuneStorm,RuneStorm,19.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1
329,"SkyBox Labs,Big Huge Games",Xbox Game Studios,4.99,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0
330,Ironward,Ironward,0.99,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1
331,DON'T NOD,Focus Entertainment,29.99,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1
332,Sad Owl Studios,Thunderful Publishing,0.0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0
333,Dream Sloth Games,Dream Sloth Games,22.99,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1
334,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,0.99,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0
335,Brogames,HandMade Games,49.99,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
336,BoRoBoRoGame,OTAKU Plan,14.99,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
337,Superkami,Toplitz Productions,39.99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
338,"CookieDev,Ultimate Games S.A.",PlayWay S.A.,39.99,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0
339,BeamNG,BeamNG,59.99,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1
340,Youthcat Studio,Gamera Games,8.99,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0
341,Exbyte Studios,Exbyte Studios,14.99,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1
342,Gentlymad,Assemble Entertainment,59.99,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
343,"Square Enix,M2 Co., Ltd.",Square Enix,24.99,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1
344,Chalcedony Network,Chalcedony Network,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
345,"Visual Concepts,Yuke's Co., LTD",2K,49.99,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0
346,Innersloth,Innersloth,24.99,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1
347,"Ravn Studio,Rock Pocket Games,Invictus Games",Ravn Studio,24.99,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1
348,Yin Games,Yin Games,19.99,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0
349,2SD,KISS ltd,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0
350,Supra Games,Supra Games,14.99,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0
351,Math Tide,Thermite Games,8.99,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1
352,"Machine Games,Arkane Studios",Bethesda Softworks,2.99,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0
353,DO MY BEST,tinyBuild,16.99,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0
354,Chime Corporation,"Spike Chunsoft Co., Ltd.",4.99,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
355,Young Horses,Young Horses,4.99,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0
356,Tamsoft,"XSEED Games,Marvelous USA, Inc.,Marvelous",49.99,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
357,Ghost Games,Electronic Arts,29.99,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1
358,Giant Army,Giant Army,14.99,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1
359,Hello Games,Hello Games,39.99,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1
360,Out of the Park Developments,Out of the Park Developments,9.99,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
361,"Squanch Games, Inc.","Squanch Games, Inc.",0.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
362,D3T,SEGA,29.99,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
363,Haiku Games Co,Haiku Games Co,14.99,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0
364,Realmforge Studios,Kalypso Media,39.99,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0
365,NetEase Games,NetEase Games,0.0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1
366,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",0.0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0
367,Back To Basics Gaming,Back To Basics Gaming,24.99,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0
368,Cold Hours,Cold Hours,14.99,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1
369,Shanghai huan zhen Info Tech Ltd,XD,14.99,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1
370,The Swordman Studio,Spiral Up Games,14.99,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1
371,Nuno Donato,Conglomerate 5,59.99,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0
372,Celeris,Celeris,17.99,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1
373,1C Game Studios,1С-777 Limited,29.99,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
374,Volens Nolens Games,Volens Nolens Games,4.99,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
375,Sports Interactive,SEGA,0.0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1
376,Starbreeze Studios AB,505 Games,29.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0
377,Black Lime Studio,Black Lime Studio,5.99,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1
378,BoRoBoRoGame,OTAKU Plan,0.0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0
379,SDP Games,KISS ltd,29.99,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1
380,SadSquare Studio,SadSquare Studio,59.99,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
381,Landon Podbielski,Adult Swim Games,59.99,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
382,"Claudiu Kiss,The Irregular Corporation",The Irregular Corporation,0.0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1
383,Konstantin Koshutin,MicroProse Software,0.0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1
384,"Mojang Studios,‪Double Eleven",Xbox Game Studios,3.99,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0
385,CrazyMoo Games,Sunset Sugar Studios,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0
386,GoeX GameS,GoeX GameS,19.99,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0
387,Road Studio S.A.,"Green Man Gaming Publishing,Movie Games S.A.",14.99,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
388,Supermassive Games,BANDAI NAMCO Entertainment Europe,0.0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1
389,"Ludosity,Fair Play Labs",GameMill Entertainment,59.99,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1
390,Sports Interactive,SEGA,0.0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
391,MOBITECH LLC,MOBITECH LLC,19.99,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
392,Creepy Jar,Creepy Jar,49.99,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0
393,"Nihon Falcom,Engine Software BV,PH3 GmbH","NIS America, Inc.",19.99,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1
394,Lince Works,Lince Works,0.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
395,Klei Entertainment,Klei Entertainment,9.99,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
396,Towerfag,Critical Bliss,19.99,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
397,Soviet Games,Soviet Games,14.99,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1
398,Codemasters,Electronic Arts,29.99,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0
399,IR Studio,IR Studio,0.99,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1
400,Frontier Developments,Frontier Developments,3.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1
401,Landfall,tinyBuild,0.99,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1
402,Systemic Reaction™,Systemic Reaction™,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1
403,KONAMI,KONAMI,16.99,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1
404,Archangel Studios,Archangel Studios,24.99,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1
405,Cannibal Panda Studios,Cannibal Panda Studios,0.0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0
406,David Szymanski,New Blood Interactive,39.99,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1
407,"Paradox Development Studio,Paradox Tinto",Paradox Interactive,0.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1
408,SOUTHPAW GAMES,NEOWIZ,0.0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1
409,Sicarius,G-DEVS.com,19.99,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0
410,SANDLOT,D3PUBLISHER,29.99,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1
411,Live Motion Games,"Live Motion Games,Frozen Way,PlayWay S.A.,Frozen District",0.99,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1
412,Relic Entertainment,SEGA,0.99,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1
413,T3Entertainment,HanbitSoft Inc.,29.99,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0
414,Eremite Games,Hooded Horse,19.99,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
415,Bugbyte Ltd.,Bugbyte Ltd.,0.0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1
416,Galvanic Games,Devolver Digital,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
417,"CyberConnect2 Co., Ltd.",BANDAI NAMCO Entertainment,0.0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0
418,Toylogic Inc.,PLAION,9.99,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1
419,Utopian World of Sandwiches,Utopian World of Sandwiches,19.99,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1
420,Betagames Group,Betagames Group,29.99,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0
421,"SmiteWorks USA, LLC","SmiteWorks USA, LLC",14.99,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0
422,Saber Interactive Inc,Saber Interactive Inc,0.0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
423,Majorariatto,Majorariatto,29.99,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
424,Unexpected,"Goblinz Publishing,Maple Whispering Limited,Unexpected",19.99,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
425,"Alawar Stargaze,Alawar Entertainment",ESDigital Games,24.99,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1
426,"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.",11.99,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
427,Visual Concepts,2K,0.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
428,Ryu Ga Gotoku Studio,SEGA,39.99,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1
429,DargomStudio,DargomStudio,29.99,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
430,Starlight Games,Starlight Games,24.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
